Code,Indicator,Val_Pass,Val_Fail,Keep_Site
BUR1,Chla,9,0,Keep
BUR1,NOX,9,0,Keep
BUR1,PN,9,0,Keep
BUR1,PP,9,0,Keep
BUR1,Secchi,9,0,Keep
BUR1,TSS,9,0,Keep
BUR2,Chla,9,0,Keep
BUR2,NOX,9,0,Keep
BUR2,PN,9,0,Keep
BUR2,PP,9,0,Keep
BUR2,Secchi,9,0,Keep
BUR2,TSS,9,0,Keep
BUR4,Chla,9,0,Keep
BUR4,NOX,9,0,Keep
BUR4,PN,9,0,Keep
BUR4,PP,9,0,Keep
BUR4,Secchi,9,0,Keep
BUR4,TSS,9,0,Keep
Beagle,Turbidity,101,0,Keep
CB1,NOX,9,0,Keep
CB1,TN,3,0,Keep
CB15,FRP,4,0,Keep
CB15,NOX,0,4,Remove
CB15,Secchi,3,0,Keep
CB15,TN,4,0,Keep
CB15,TP,4,0,Keep
CB15,TSS,4,0,Keep
CB15,Turbidity,4,0,Keep
CB16,FRP,4,0,Keep
CB16,NOX,4,0,Keep
CB16,Secchi,4,0,Keep
CB16,TN,4,0,Keep
CB16,TP,4,0,Keep
CB16,TSS,4,0,Keep
CB16,Turbidity,4,0,Keep
CB2,Chla,10,0,Keep
CB2,NOX,10,0,Keep
CB2,TN,10,0,Keep
CB2,TP,11,0,Keep
CB2,TSS,10,0,Keep
CB2,Turbidity,10,0,Keep
CB6,Chla,11,0,Keep
CB6,NOX,11,0,Keep
CB6,TN,11,0,Keep
CB6,TP,11,0,Keep
CB6,TSS,11,0,Keep
CB6,Turbidity,10,0,Keep
Geoffrey,Chla,286,0,Keep
Geoffrey,Turbidity,286,0,Keep
ORN1,Chla,12,0,Keep
ORN1,FRP,12,0,Keep
ORN1,NOX,12,0,Keep
ORN1,TN,9,0,Keep
ORN1,TP,12,0,Keep
ORN1,TSS,12,0,Keep
ORN1,Turbidity,10,0,Keep
ORN2,Chla,12,0,Keep
ORN2,FRP,12,0,Keep
ORN2,NOX,12,0,Keep
ORN2,TN,8,0,Keep
ORN2,TP,12,0,Keep
ORN2,TSS,12,0,Keep
ORN2,Turbidity,10,0,Keep
P05,FRP,4,0,Keep
P05,NOX,0,4,Remove
P05,Secchi,4,0,Keep
P05,TN,4,0,Keep
P05,TP,4,0,Keep
P05,TSS,4,0,Keep
P05,Turbidity,4,0,Keep
Pandora,Chla,352,0,Keep
Pandora,Turbidity,352,0,Keep
Pelorus,Chla,305,0,Keep
Pelorus,Turbidity,305,0,Keep
RP1,Chla,10,0,Keep
RP1,NOX,10,0,Keep
RP1,TN,10,0,Keep
RP1,TP,10,0,Keep
RP1,TSS,11,0,Keep
RP1,Turbidity,10,0,Keep
RR07,FRP,4,0,Keep
RR07,NOX,4,0,Keep
RR07,Secchi,4,0,Keep
RR07,TN,4,0,Keep
RR07,TP,4,0,Keep
RR07,TSS,4,0,Keep
RR07,Turbidity,4,0,Keep
RR09,FRP,4,0,Keep
RR09,NOX,4,0,Keep
RR09,Secchi,4,0,Keep
RR09,TN,4,0,Keep
RR09,TP,4,0,Keep
RR09,TSS,4,0,Keep
RR09,Turbidity,4,0,Keep
S2,Turbidity,304,0,Keep
SB01,FRP,4,0,Keep
SB01,NOX,4,0,Keep
SB01,Secchi,4,0,Keep
SB01,TN,4,0,Keep
SB01,TP,4,0,Keep
SB01,TSS,4,0,Keep
SB01,Turbidity,4,0,Keep
SJ01,FRP,4,0,Keep
SJ01,NOX,4,0,Keep
SJ01,Secchi,3,0,Keep
SJ01,TN,4,0,Keep
SJ01,TP,4,0,Keep
SJ01,TSS,4,0,Keep
SJ01,Turbidity,4,0,Keep
