Code,Indicator,Val_Pass,Val_Fail,Keep_Site
BUR1,Chla,8,0,Keep
BUR1,FRP,6,0,Keep
BUR1,NOX,6,0,Keep
BUR1,PN,6,0,Keep
BUR1,PP,6,0,Keep
BUR1,Secchi,6,0,Keep
BUR1,TSS,8,0,Keep
BUR2,Chla,8,0,Keep
BUR2,FRP,6,0,Keep
BUR2,NOX,6,0,Keep
BUR2,PN,6,0,Keep
BUR2,PP,6,0,Keep
BUR2,Secchi,6,0,Keep
BUR2,TSS,8,0,Keep
BUR4,Chla,3,0,Keep
BUR4,FRP,1,0,Keep
BUR4,NOX,1,0,Keep
BUR4,PN,1,0,Keep
BUR4,PP,1,0,Keep
BUR4,Secchi,1,0,Keep
BUR4,TSS,3,0,Keep
Beagle,Turbidity,359,0,Keep
CB1,Chla,12,0,Keep
CB1,NOX,1,0,Keep
CB1,TN,1,0,Keep
CB1,TP,1,0,Keep
CB1,TSS,12,0,Keep
CB1,Turbidity,12,0,Keep
CB15,FRP,4,0,Keep
CB15,NOX,0,2,Remove
CB15,Secchi,3,0,Keep
CB15,TN,4,0,Keep
CB15,TP,2,0,Keep
CB15,TSS,4,0,Keep
CB15,Turbidity,4,0,Keep
CB16,FRP,4,0,Keep
CB16,NOX,2,0,Keep
CB16,Secchi,3,0,Keep
CB16,TN,4,0,Keep
CB16,TP,2,0,Keep
CB16,TSS,4,0,Keep
CB16,Turbidity,4,0,Keep
CB2,Chla,11,0,Keep
CB2,NOX,1,0,Keep
CB2,TN,1,0,Keep
CB2,TP,1,0,Keep
CB2,TSS,11,0,Keep
CB2,Turbidity,11,0,Keep
CB6,Chla,12,0,Keep
CB6,NOX,1,0,Keep
CB6,TN,1,0,Keep
CB6,TP,1,0,Keep
CB6,TSS,12,0,Keep
CB6,Turbidity,12,0,Keep
Geoffrey,Chla,354,0,Keep
Geoffrey,Turbidity,354,0,Keep
P05,FRP,4,0,Keep
P05,NOX,0,2,Remove
P05,Secchi,3,0,Keep
P05,TN,4,0,Keep
P05,TP,3,0,Keep
P05,TSS,4,0,Keep
P05,Turbidity,4,0,Keep
Pandora,Chla,366,0,Keep
Pandora,Turbidity,366,0,Keep
Pelorus,Chla,265,0,Keep
Pelorus,Turbidity,265,0,Keep
RR07,FRP,4,0,Keep
RR07,NOX,2,0,Keep
RR07,Secchi,3,0,Keep
RR07,TN,4,0,Keep
RR07,TP,2,0,Keep
RR07,TSS,4,0,Keep
RR07,Turbidity,4,0,Keep
RR09,FRP,4,0,Keep
RR09,NOX,2,0,Keep
RR09,Secchi,3,0,Keep
RR09,TN,4,0,Keep
RR09,TP,2,0,Keep
RR09,TSS,4,0,Keep
RR09,Turbidity,4,0,Keep
S2,Turbidity,362,0,Keep
SB01,FRP,4,0,Keep
SB01,NOX,2,0,Keep
SB01,Secchi,3,0,Keep
SB01,TN,4,0,Keep
SB01,TP,2,0,Keep
SB01,TSS,4,0,Keep
SB01,Turbidity,4,0,Keep
SJ01,FRP,4,0,Keep
SJ01,NOX,2,0,Keep
SJ01,Secchi,3,0,Keep
SJ01,TN,4,0,Keep
SJ01,TP,2,0,Keep
SJ01,TSS,4,0,Keep
SJ01,Turbidity,4,0,Keep
